POS Product Type,POS Product ID,POS Product Name,POS Product Status,POS Product Group ID,POS Product Group Name,Product ID,Product Name,Product Status,Action Type
generic,MAG BELUGA GOLD LINE,MAG BELUGA GOLD LINE,enabled,,,e9ca10de-d6c3-4ad7-badc-a873907ce489,M. BELUGA GOLD LINE LEATHER VODKA 40° 150CL,enabled,increase
generic,S. DON JULIO 1942 OFFERT,S. DON JULIO 1942 OFFERT,disabled,,,84089c99-1171-444f-924c-cce4c3c358ec,S. DON JULIO 1942 3CL,enabled,increase
generic,V CASAMIGOS,V CASAMIGOS,disabled,,,5ba51032-42ab-48a7-b200-5e8a8a3d7530,V. CASAMIGOS REPOSADO,enabled,increase
generic,S. GET 31,S. GET 31,disabled,,,,,,
generic,B. MALARD BRUT,B. MALARD BRUT,disabled,,,ef6285ec-4536-44c2-96be-34b2be29f416,B._Champagne_ Malard Brut_75CL,enabled,increase
generic,B. LAURENT PERRIER,B. LAURENT PERRIER,disabled,,,1cacf091-8b00-423b-85af-229d4a0a8e40,"B. CASHER CHAMPAGNE LAURENT PERRIER BRUT ""La Cuvée"" 75CL CASHER",enabled,increase
generic,PURA VIDA CHARTREUSE V,PURA VIDA CHARTREUSE V,disabled,,,,,,
generic,ESPRESSO MARTINI TEQUILA,ESPRESSO MARTINI TEQUILA,enabled,,,8e977135-56d4-4693-87c2-7185655aab14,EXPRESSO MARTINI TEQUILA,enabled,increase
generic,CORONA,CORONA,enabled,,,27f42cc6-3328-49a0-942b-d58a868586f3,"B. CORONA 33 CL VP 4,5°",enabled,increase
generic,TRES LECHE CAKE,TRES LECHE CAKE,enabled,,,,,,none
generic,PASTIS SOUR,PASTIS SOUR,disabled,,,70eff09a-9c01-4a26-8ac1-3ed73b323d5f,PASTIS 12-12 SOUR,enabled,increase
generic,B. CHEVAL BLANC RGE,B. CHEVAL BLANC RGE,disabled,,,ca4df243-e5d9-4c4b-9d9a-ed7025661608,B._Saint-Emilion Grand Cru_Château Cheval Blanc_RGE_75CL,enabled,increase
generic,BTL CHAMBOLE MUSIGNY  1ER CRU RGE,BTL CHAMBOLE MUSIGNY  1ER CRU RGE,disabled,,,0ba7d687-b7e0-409f-957b-2a9eb748a434,B._Chambolle-Musigny 1er Cru_Domaine Laurent Roumier_RGE_75CL,enabled,increase
generic,B. HECHICERA,B. HECHICERA,disabled,,,,,,none
generic,SEX ON THE BEACH ALTOS REPOSADO,SEX ON THE BEACH ALTOS REPOSADO,disabled,,,,,,
generic,TOMMYS SANDIA,TOMMYS SANDIA,enabled,,,6224668f-bf81-4435-bcca-4d32e9ec5f55,TOMMY'S SANDIA,enabled,increase
generic,BTL ARMAND DE BRIGNAC BRUT,BTL ARMAND DE BRIGNAC BRUT,enabled,,,b02750b3-b394-4884-9ee1-6d806d3403b8,"B._ Armand de Brignac ""Brut"" 75CL",enabled,increase
generic,BTL CHAMBOLLE MUSSIGNY POUSSE DOR RGE,BTL CHAMBOLLE MUSSIGNY POUSSE DOR RGE,enabled,,,618c4d48-9e4d-4fc1-a1a3-6f2dd2acded8,B._ Chambolle-Musigny  Village_ Domaine De La Pousse d'Or_RGE_75CL,enabled,increase
generic,INDIE VODKA,INDIE VODKA,enabled,,,d568dca5-ed04-4d86-b0fd-cd454976bb14,INDIE VODKA,enabled,increase
generic,V. HENDRICKS,V. HENDRICKS,disabled,,,f6748490-ce54-48e3-ad78-22b42285773d,V. HENDRICKS,enabled,increase
generic,BTL BIDEN 1999 SAKE,BTL BIDEN 1999 SAKE,disabled,,,8a39d72f-7c9c-41e3-bf5b-099d777c231f,B. SAKE BIDEN 1999 72CL,enabled,increase
generic,B. DOM. ECU VERITAS RGE,B. DOM. ECU VERITAS RGE,enabled,,,55df184b-b829-425d-b72c-ae9500af36e2,"B._Vin de France, Loire_""Veritas"", Domaine de l'Ecu_RGE_75CL",enabled,increase
generic,B. GRANGE PENFOLDS RGE,B. GRANGE PENFOLDS RGE,enabled,,,ddc4fe9b-7262-4102-b8b9-42ef30cd0284,B._Southern Australia_ Grange Penfolds_RGE_75CL,enabled,increase
generic,BTL ARMAND DE BRIGNAC RSE,BTL ARMAND DE BRIGNAC RSE,enabled,,,0ab0e164-2f08-4a9a-b6a6-2ffea103eed1,"B._ Armand de Brignac ""Rosé"" 75CL",enabled,increase
generic,HUGO SPRITZ,HUGO SPRITZ,enabled,,,91b95200-67fc-4ae1-b9f3-a7c6552508c1,HUGO SPRITZ,enabled,increase
generic,V. HAVANA 3ANS,V. HAVANA 3ANS,disabled,,,,,,
generic,COTE DE BOEUF,COTE DE BOEUF,enabled,,,,,,none
generic,S GET27 OFFERT,S GET27 OFFERT,enabled,,,93c807d9-ac65-4231-a012-d1df12e1f90b,S. GET 27 3CL,enabled,increase
generic,V. AVION 44,V. AVION 44,disabled,,,dadd3ce2-aa7d-4bcf-b7e5-1173f7687dc0,V. AVION 44,enabled,increase
generic,CAFE CREME,CAFE CREME,disabled,,,,,,none
generic,B. CLASE AZUL ANEJO,B. CLASE AZUL ANEJO,disabled,,,506963f1-d5c7-4051-814b-3f9613212af0,CLASE AZUL ANEJO TEQUILA 40°,enabled,increase
generic,DIVERS DESSERTS,DIVERS DESSERTS,disabled,,,,,,none
generic,M. RUINART BLC DE BLCS,M. RUINART BLC DE BLCS,disabled,,,3b9b3937-f01f-4608-aa65-49d96459b9ea,"M._ Ruinart, ""Blanc de Blancs""_150CL",enabled,increase
generic,B. CUVEE GALLETY RGE,B. CUVEE GALLETY RGE,disabled,,,639763fe-df8e-4bbf-8f85-b6f4e7f4939a,"B._Côtes du Vivarais_""Cuvée Gallety"", Domaine Gallety_RGE_75CL",enabled,increase
