POS Product Type,POS Product ID,POS Product Name,POS Product Status,POS Product Group ID,POS Product Group Name,Product ID,Product Name,Product Status,Action Type
generic,S CODIGO ROSA,S CODIGO BLANCO,disabled,,,,,,
generic,B BOURGOGNE HENRI BOILLOT BLC,B BOURGOGNE HENRI BOILLOT BLC,enabled,,,1a98a021-4e08-4fb9-9f8d-76159acc3b3d,B._Bourgogne _Domaine Henri Boillot_BLC_75CL,enabled,increase
generic,Corn cake groupe,Corn cake groupe,disabled,,,,,,none
generic,BTL CROZES HERMITAGE BLC,B SAINT JOSEPH PIERRE J VILLA BLC,disabled,,,,,,
generic,B CORTON CHARLEMAGNE GCRU SIMON BIZE BLC,B CORTON CHARLEMAGNE GCRU SIMON BIZE BLC,enabled,,,629ddafc-cbbe-4c48-84a2-c14a0500a2f7,B._Corton-Charlemagne Grand Cru_Domaine Simon Bize_BLC_75CL,enabled,increase
generic,V LIQUEUR ABRICOT ROULOT,V LIQUEUR ABRICOT ROULOT,enabled,,,97372655-6db7-468d-8525-2ca0d1e8ddf4,V. LIQUEUR ABRICOT JEAN MARC ROULOT,enabled,increase
generic,B H COTE DE NUIT MEO CAMUZET BLC,B H COTE DE NUIT MEO CAMUZET BLC,enabled,,,0b21b71c-40c7-413b-a526-d5701a4786e3,"B._Bourgogne Hautes Côtes de Nuits_""Saint Philibert"", Domaine Méo-Camuzet_BLC_75CL",enabled,increase
generic,RAW SELECTION,RAW SELECTION,enabled,,,,,,none
generic,GINGER ALE,GINGER ALE,enabled,,,a71d480f-b1ec-452f-93f0-4db5ecb8521b,B. GINGER BEER VP 20CL,enabled,increase
generic,ADD JUS CRANBERRY,ADD JUS CRANBERRY,enabled,,,053859fe-cde6-4462-88cb-fb164053e3f9,JUS DE FRUIT VERSE,enabled,increase
generic,V CODIGO CRISTALINO,V CODIGO CRISTALINO,enabled,,,08a98a1e-d2dc-4487-b9bd-643d662a4f09,V. CODIGO CRISTALINO,enabled,increase
generic,GRILLED OCTOPUS,GRILLED OCTOPUS,disabled,,,,,,
generic,BTL TIGNANELLO RGE,BTL TIGNANELLO RGE,enabled,,,c5f52ff4-b165-4730-93de-f23e65c5eb20,"B._ IGT Toscane_ ""Tignanello"", Marchesi Antinori_RGE_75CL",enabled,increase
generic,Corn cake g,Corn cake g,enabled,,,,,,none
generic,STEP 3 DESSERTS 180,STEP 3 DESSERTS 180,enabled,,,,,,none
generic,B DOMAINE DE MARIE IGP VAUCLUSE BLC,B DOMAINE DE MARIE IGP VAUCLUSE BLC,enabled,,,21ed94b0-9f6b-4313-b111-e958259b0a6c,"B._IGP Vaucluse_""Cuvée N°1"", Domaine De Marie_BLC_75CL",enabled,increase
generic,BTL DON JULIO REPOSADO,BTL DON JULIO REPOSADO,disabled,,,b6a7b16e-d253-4276-b470-95b161d3f1ec,DON JULIO REPOSADO,enabled,increase
generic,B CRISTAL RSE,B CRISTAL RSE,enabled,,,4b082d70-4d0e-4335-aa24-3bbc049de7b1,"B._ Cristal Roederer, ""Rosé""_75CL",enabled,increase
generic,V ANTICA FORMULA ROUGE,V ANTICA FORMULA ROUGE,enabled,,,ae25288d-dd04-4905-af11-2d1b820884b5,V. MARTINI ROUGE,enabled,increase
generic,BLOODY MEZCAL,BLOODY MEZCAL,enabled,,,0513731c-9865-4581-b3cf-06f49b310395,BLOODY MARY MEZCAL,enabled,increase
generic,V CHAMBORD,V CHAMBORD,enabled,,,fa3eba3f-f1d8-457b-88f2-53128cd9ef32,V. CHAMBORD,enabled,increase
generic,B ECHEwEAUX GCRU DOMAINE D'EUGENIE RG,B ECHEwEAUX GCRU DOMAINE D'EUGENIE RG,enabled,,,2f4dca08-2002-481d-89f8-1f38be7dcfd2,B._Echezeaux Grand Cru_Domaine d'Eugénie _RGE_75CL,enabled,increase
generic,V BIELLE BLANC 50,V BIELLE BLANC 50,enabled,,,f0228102-3236-4b78-9c87-beb8c80bdfe5,V. BIELLE RHUM BLANC,enabled,increase
generic,PATATE DOUCE,PATATE DOUCE,enabled,,,,,,none
generic,TARTA DEL DIA,TARTA DEL DIA,enabled,,,,,,none
generic,MONARQ CAVIAR BELUGA 125G,MONARQ CAVIAR BELUGA 125G,disabled,,,,,,
generic,Espresso Martini Belve,Espresso Martini Belve,enabled,,,ab1affce-f83b-4758-8f88-5dacbf7e3fa7,EXPRESSO MARTINI,enabled,increase
generic,S VOLCAN,S VOLCAN BLANCO,disabled,,,,,,
generic,S DEL MAGUEY VIDA,S DEL MAGUEY VIDA,enabled,,,280e2542-b677-43a9-9b3d-e1196b4742a7,S. MEZCAL DEL MAGUEY VIDA 4CL,enabled,increase
generic,"BTL MEURSAULT ""CLOS DE MEIX"" BLC",B CHASSAGNE MONTRACHET LAMY PILLOT BLC,disabled,,,,,,
generic,BTL CHASSAGNE 1ER CRU CLOS ST JEAN BLC,B BOURGOGNE HENRI BOILLOT BLC,disabled,,,,,,
generic,BTL CHAPELLE DE POTENSAC RGE,B PAUILLAC DE LATOUR 2020 RG,disabled,,,,,,
generic,B ZACAPA XO,B ZACAPA XO,enabled,,,c14de746-1636-4b1a-bc15-da799bff76f2,B. ZACAPA XO 40° 75CL,enabled,increase
generic,BTL ADICCION ANEJO,BTL ADICCION ANEJO,enabled,,,8a860aec-d271-4d32-88ba-f994f6f5e53c,B. ADICCION ANEJO 70CL,enabled,increase
generic,BTL BLACK LABEL,BTL BLACK LABEL,enabled,,,c9aeef7f-61bf-404d-a78c-916287cef0a2,B. JOHNNIE WALKER BLACK LABEL 40° 100CL,enabled,increase
generic,DIRTY MARTINI MONKEY 47,DIRTY MARTINI MONKEY 47,enabled,,,2e9305a5-c482-4331-b7cb-4986eae51ef2,DRY MARTINI MONKEY 47,enabled,increase
generic,STEP 2 PLATS 90,STEP 2 PLATS 90,disabled,,,,,,none
generic,V DOS HOMBRES,V DOS HOMBRES,enabled,,,89ac2fbb-7b53-4466-a45b-5fe7579828b8,V. DOS HOMBRE,enabled,increase
generic,S. GIN,S. GIN,enabled,,,8cb5f83a-9316-4327-a209-96689bd68f5d,S. GIN VERSE 4CL,enabled,increase
generic,RAW SELECTION GROUPE,RAW SELECTION GROUPE,disabled,,,,,,none
generic,TENTACION,TENTACION,enabled,,,ad18515c-e21a-4a57-bfb5-9fed14582bed,TENTACION SBH,enabled,increase
generic,MARGARITA DON JULIO 1942,MARGARITA DON JULIO 1942,enabled,,,77ec826a-3127-4eb8-b836-b8b62683f034,MARGARITA DON JULIO 1942,enabled,increase
generic,Macha tuna g,MACHA TUNA G,enabled,,,,,,none
generic,KING CRAB,KING CRAB,disabled,,,,,,
generic,MAG RUINART BDB,MAG RUINART BDB,enabled,,,3b9b3937-f01f-4608-aa65-49d96459b9ea,"M._ Ruinart, ""Blanc de Blancs""_150CL",enabled,increase
generic,B P VERGELESES GIRARD BLC,B P VERGELESES GIRARD BLC,enabled,,,17a7bc54-e41b-4226-a38c-af781866f89c,"B._Pernand Vergelesses_""Belles Filles"", Domaine Girard_BLC_75CL",enabled,increase
generic,V DEL MAGUEY VIDA,V DEL MAGUEY VIDA,enabled,,,9d95feef-f001-4213-aa1e-555f430c7cd2,V. MEZCAL DEL MAGUEY VIDA,enabled,increase
generic,BTL DON JULIO ROSADO,BTL DON JULIO ROSADO,enabled,,,3c1c8f0b-94b9-44dd-b2ee-c2e9ceb3882e,B. DON JULIO ROSADO 70CL,enabled,increase
generic,B MONTHELIE CLERGET HOSPICES D BEAUNE RG,B MONTHELIE CLERGET HOSPICES D BEAUNE RG,enabled,,,c9392196-471b-4391-abec-eaaaa622ae1e,"B._Monthélie_""Les Duresses Hospices de Beaune"", Domaine Yvon Clerget_RGE_75CL",enabled,increase
generic,B POMEROL PETRUS 1996 RG,B POMEROL PETRUS 1996 RG,enabled,,,64ed3e69-70a6-4e5c-b9f3-507ab63e35f8,B._Pomerol_Château Petrus_RGE_75CL,enabled,increase
generic,MATHU ARMAND RSE,MATHU ARMAND RSE,enabled,,,037050a1-e77a-4f69-ba7f-c554378b8b21,"MATHU._ Armand de Brignac ""Rosé"" 600CL",enabled,increase
generic,SALADE AVOCAT,SALADE AVOCAT,disabled,,,,,,
generic,CARPACCIO YELLOWTAIL,CEVICHE OF THE DAY,disabled,,,,,,
generic,B SANCERRE PINARD BLC,B SANCERRE PINARD BLC,enabled,,,7da900ec-e206-482b-9dbe-d4cb440593f5,"B._Sancerre_""Creots"", Domaine Vincent Pinard_BLC_75CL",enabled,increase
generic,V DOUBLE CASK MACALLAN 15 ANS,V DOUBLE CASK MACALLAN 15 ANS,disabled,,,b2d739cd-a547-4221-9c29-2aab7405be26,V. MACALLAN 15,enabled,increase
generic,V VOLCAN BLANCO,V VOLCAN BLANCO,enabled,,,5e7c9de9-ede1-4293-a561-d6da20772cc7,V. VOLCAN BLANCO,enabled,increase
generic,B INSOLITE BLC,B INSOLITE BLC,enabled,,,08ca5ed8-d498-4f56-8f44-5f33499ab6ba,"B._Saumur_""L'Insolite"", Domaine Des Roches Neuves_BLC_75CL",enabled,increase
generic,LIQUEUR PRUNELLE BOURGOGNE,LIQUEUR PRUNELLE BOURGOGNE,enabled,,,,,,none
generic,S ADICCION  REPOSADO OFFERT,S ADICCION  REPOSADO OFFERT,enabled,,,57d5af12-8db1-4240-9c89-eb5589891ec8,S. ADICCION REPOSADO 4CL,enabled,increase
generic,LOUP GRILLE,LOUP GRILLE ENTIER,disabled,,,,,,
generic,V PRESTIGE,V PRESTIGE,enabled,,,,,,none
generic,BTL CORTON CLOS DU ROI RGE,B POMMARD DOM JOILLOT GEORGES RG,disabled,,,,,,
generic,ANGUS PRIME RIBE G,ANGUS PRIME RIB G,enabled,,,,,,none
generic,B EL TEQUILENO EXTRA ANEJO,B EL TEQUILENO EXTRA ANEJO,enabled,,,1191adef-7c57-4451-a1b4-9a676c2615ea,B. EL TEQUILENO EXTRA ANEJO 75CL,enabled,increase
generic,B EROIKA BLC,B EROIKA BLC,enabled,,,223c2447-f499-48ac-9801-f288a916701d,"B._Colombia Valley_""Eroica"", Chateau Saint Michelle & Dr Loosen_BLC_75CL",enabled,increase
generic,V HAVANA 7ANS,V HAVANA 7ANS,enabled,,,7c63d0be-9a79-43ea-ad5b-5376d1c8d04b,V. HAVANA 7ANS,enabled,increase
generic,BOULVARDIER,BOULVARDIER,enabled,,,fd480283-87af-48df-a8db-16f47ef00186,BOULEVARDIER,enabled,increase
generic,MANHATTAN ANTICA,MANHATTAN ANTICA,enabled,,,9ee3e978-84cb-4700-b484-82389e5ee98b,MANHATTAN BULLETT,enabled,increase
generic,DULCE DE LECHE CHEESECAKE,TRES LECHES CAKE,disabled,,,,,,
generic,B MONTEPULCIANO ABRUZZO EMIDIO PEPE RG,B MONTEPULCIANO ABRUZZO EMIDIO PEPE RG,enabled,,,5fe1595d-197e-4347-9537-5d1c127c4dc3,"B._Montepulciano d'Abruzzo _""Branella"", Emidio Pepe_RGE_75CL",enabled,increase
generic,SUGG FOOD,SUGG FOOD,disabled,,,,,,
generic,V BELEVDERE OFFERT,V BELEVDERE OFFERT,enabled,,,75226a68-6f1e-44f4-9da5-403ede6fc422,V. VODKA VERSE,enabled,increase
generic,B GANEVAT TEPPES BLC,B GANEVAT TEPPES BLC,enabled,,,ead995d3-e032-42f5-bbb9-f1e0fe345a0b,"B._Côtes du Jura_""Grandres Teppes"", Domaine Ganevat_BLC_75CL",enabled,increase
generic,DIRTY MARTINI BELVEDERE,DIRTY MARTINI BELVEDERE,enabled,,,1cd2a26b-caa7-4aee-b51d-fe956f31857c,DRY MARTINI VODKA VERSE,enabled,increase
generic,S DON FULANO EXTRA ANEJO,S DON FULANO EXTRA ANEJO,enabled,,,4ee63844-d9f2-4c50-89aa-1af26d0ddc06,S. DON FULANO EXTRA ANEJO 4CL,enabled,increase
generic,SASHIMI SERIOLE,SASHIMI SERIOLE,disabled,,,,,,none
generic,SUPP TORTILLA,SUPP TORTILLA,disabled,,,,,,
generic,B AMARONE DELLA V DAL FORNO ROMANO RG,B AMARONE DELLA V DAL FORNO ROMANO RG,enabled,,,001002d3-de64-468a-9510-c56c2b0ed813,B._ Amarone della Valpolicella Monte Lodoletta_ Dal Forno Romano_RGE_75CL,enabled,increase
generic,V. ARMAGNAC EXODE,V. ARMAGNAC EXODE,enabled,,,,,,none
generic,MAG DON JULIO 1942,MAG DON JULIO 1942,enabled,,,65f1316a-2da4-435b-bb52-53af74b045c2,M. DON JULIO 1942 175CL,enabled,increase
generic,FAUX FILET WAGYU,BABY CHICKEN VERDE,disabled,,,,,,
generic,B CHABLIS CLOS BERU BLC,B CHABLIS CLOS BERU BLC,enabled,,,6b291c5e-7885-4d03-a2a8-5c0024188723,"B._Chablis_""Le Clos Beru"", Chateau de Beru_BLC_75CL",enabled,increase
generic,BTL DON JULIO 70TH,BTL DON JULIO 70TH,enabled,,,2eff309f-46de-47ca-949b-3bd22d6e820f,B. DON JULIO 70TH 38° 75CL,enabled,increase
generic,BTL POUILLY FUME SILEX,B MONTLOUIS S LOIRE GRANGE TIPHAINE BLC,disabled,,,,,,
generic,S DOS HOMBRES,S DOS HOMBRES,enabled,,,ff7e2bbb-f4aa-4715-900c-88f6e286192d,S. DOS HOMBRE 4CL,enabled,increase
generic,BTL E. GUIGAL LA LANDONNE RGE,B COTE ROTIE DOMAINE JAMET RG,disabled,,,,,,
generic,B CONDRIEU CLUSEL ROCH BLC,B CONDRIEU CLUSEL ROCH BLC,enabled,,,c8b74853-c5b3-43cf-ab2b-221190a5ae80,"B._Condrieu_""Verchery"", Domaine Clusel-Roch_BLC_75CL",enabled,increase
generic,V. RUMOR,V. RUMOR,disabled,,,,,,
generic,M PJ BELLE EPOQUE BRUT,M PJ BELLE EPOQUE BRUT,enabled,,,f5b689f9-1522-4490-93b7-33db8adbda4e,"M._ Perrier Jouet_ Belle Epoque, ""Brut""_150CL",enabled,increase
generic,BTL PINOT NOIR AU BON CLIMAT RGE,B TOSCANE TIGNANELLO RG,disabled,,,,,,
generic,S EL TEQUILENO EXTRA ANEJO,S EL TEQUILENO EXTRA ANEJO,enabled,,,de46aea6-4d93-43aa-80d2-f0c6898efde6,S. EL TEQUILENO EXTRA ANEJO 4CL,enabled,increase
generic,S. SAMBUCCA,S. SAMBUCCA,enabled,,,148f5b81-6a12-4dbc-b49e-1ac5935f0a5f,S. SAMBUCA 4CL,enabled,increase
generic,B CHAMB MUSIGNY GEORGES ROUMIER 2003 RG,B CHAMB MUSIGNY GEORGES ROUMIER 2003 RG,enabled,,,702b598b-8f87-464f-8427-2ccc972e0450,"B._Chambolle-Musigny 1er Cru_""Les Amoureuses"", Domaine Georges Roumier_RGE_75CL",enabled,increase
generic,GODFATHER,GODFATHER,enabled,,,,,,none
generic,CEVICHE du jour,CEVICHE DU JOUR,enabled,,,,,,none
generic,B GRANGE DES PERE BLC,B GRANGE DES PERES BLC,enabled,,,68624138-8394-4943-8b2e-257c7d651857,B._I.G.P. Pays d'Hérault_Domaines de la Grange des Pères_BLC_75CL,enabled,increase
generic,MAG PJ BELLE EPOQUE BDB,M PJ BELLE EPOQUE BDB,disabled,,,,,,
generic,DRY MARTINI SEVENTY ONE,DRY MARTINI SEVENTY ONE,enabled,,,97c278be-3641-4617-8dab-ba60994ad03e,MARTINI DRY SEVENTY ONE,enabled,increase
generic,BTL CHAMBOLE MUSIGNY FEUSSELOTTES RGE,B CDN DOM TRAPET LE MEIX FRINGUET RG,disabled,,,,,,
generic,BTL CLOS VENTURI,BTL DOMAINE VICO CLOS VENTURI BLC,disabled,,,,,,
generic,BRAISED BEEF CHEEKS TACOS,BRAISED BEEF CHEEKS TACOS,disabled,,,,,,none
generic,B METRAS 1999,B METRAS 1999,enabled,,,ce190ec7-94b6-43d0-b2fc-ef9a7f3109c4,B._AOP Beaujolais_Domaine Yvon Metras_RGE_75CL,enabled,increase
generic,SHOT OFFERT,SHOT OFFERT,enabled,,,498901a3-e3d5-4b4a-a1af-87b67996a90b,S. BIELLE RHUM BLANC,enabled,increase
generic,S ESPRESSO MARTINI,S ESPRESSO MARTINI,enabled,,,2e13ba43-9ee6-4dff-9ead-6b6c07d98417,S. EXPRESSO MARTINI 4CL,enabled,increase
generic,SUPP PAIN GRILLE,SUPP PAIN GRILLE,enabled,,,,,,none
generic,S EMINENTE 3,S EMINENTE 3,enabled,,,70996985-0df9-41f7-bbab-c398e6d77011,S. EMINENTE 3 ANS 4CL,enabled,increase
generic,B TERREBRUNE BANDOL RG,B TERREBRUNE BANDOL RG,enabled,,,7a26b0f5-9bed-438c-9e8e-b841df630433,"B._Bandol_""Terrebrune"", Domaine de Terrebrune_RGE_75CL",enabled,increase
generic,Churros,Churros,enabled,,,,,,none
generic,SPINY LOBSTER G,SPINY LOBSTER G,enabled,,,,,,none
generic,PACK FENTIMANS TONIC X5,PACK FENTIMANS TONIC X5,enabled,,,a2a615e2-cebd-4d42-9622-a4f0ccf761f0,PACK TONIC*5,enabled,increase
generic,CORONA OFFERT,B CORONA OFFERT,disabled,,,,,,
generic,CASPARIAN CAVIAR GOLDEN IMPERIAL 50G,CASPARIAN CAVIAR GOLDEN IMPERIAL 50G,enabled,,,,,,none
generic,Supp riz,Supp riz,enabled,,,,,,none
generic,TARTA DE CHOCOLATE,CAJETA CAKE,disabled,,,,,,
generic,MILLEFEUILLE,MILLEFEUILLE,enabled,,,,,,none
generic,PASTIS SOUR,PASTIS SOUR,enabled,,,70eff09a-9c01-4a26-8ac1-3ed73b323d5f,PASTIS 12-12 SOUR,enabled,increase
generic,SIDECAR,SIDECAR,enabled,,,3a62f4b0-f64e-4362-b245-4305e76d7425,SIDE CAR,enabled,increase
generic,CARPANO CLASSICO,CARPANO CLASSICO,enabled,,,,,,none
generic,Cocktail jour,Cocktail jour,enabled,,,,,,none
generic,B CORBIERES BOUTENAC GERARD BERTRAND RG,B CORBIERES BOUTENAC GERARD BERTRAND RG,enabled,,,6615702b-2fb0-4f1d-a774-52ee181fe867,"B._Corbières Boutenac_""La Forge"", Gérard Bertrand_RGE_75CL",enabled,increase
generic,TARTARE KING CRABE,TARTARE KING CRABE,enabled,,,,,,none
generic,SPICY MEZCAL MARGARITA,SPICY MEZCAL MARGARITA,enabled,,,248e126f-b8c5-4320-b008-ee44e75b2c44,SPICY MEZCAL MARGARITA,enabled,increase
generic,MAHI G,MAHI G,enabled,,,,,,none
generic,CIGARE BEHIKE,CIGARE BEHIKE,enabled,,,,,,none
generic,S CASAMIGOS MEZCAL,S CASAMIGOS MEZCAL,enabled,,,9fb54756-b63d-46ea-9662-58c86b44804c,S. CASAMIGOS MEZCAL 4CL,enabled,increase
generic,CARPANO BIANCO,CARPANO BIANCO,enabled,,,,,,none
generic,B RICHEBOURG GCRU ROMANEE CONTI 2013 RG,B RICHEBOURG GCRU ROMANEE CONTI 2013 RG,enabled,,,e351e324-9da4-4e0e-a906-9c855489032f,B._ Richebourg Grand Cru_Domaine De La Romanée-Conti_RGE_75CL,enabled,increase
generic,MAG BELVEDERE,MAG BELVEDERE,enabled,,,641a8783-ff26-4918-b93e-cd92ff3455fc,M. BELVEDERE PURE VODKA 175CL,enabled,increase
generic,B CHATEAU GRILLET 2019 BLC,B CHATEAU GRILLET 2019 BLC,enabled,,,d7b78d41-618c-422f-a808-52f910d4e1bf,B._Rhône_Château Grillet_BLC_75CL,enabled,increase
generic,BTL CASAMIGOS ESPADIN MEZCAL,BTL CASAMIGOS ESPADIN MEZCAL,enabled,,,5415ee21-a4bd-42a3-951a-3480b86eb401,B. CASAMIGOS ESPADIN MEZCAL 40° 70CL,enabled,increase
generic,BTL CH DE BACCHUS BLC,B DOMAINE DE MARIE IGP VAUCLUSE BLC,disabled,,,,,,
generic,B PERROT M VERGY RGE,B PERROT M VERGY RGE,enabled,,,ba02632a-542e-4ef8-af88-19e3c766fdb2,"B._Morey-Saint-Denis_""La Rue de Vergy"", Domaine Perrot Minot_RGE_75CL",enabled,increase
generic,TACOS POISSON,TACOS POISSON,enabled,,,,,,none
generic,RHUM SOUR,RHUM SOUR,enabled,,,c2b5898a-84a9-4de0-9f83-107c6b318e0f,RHUM SOUR,enabled,increase
generic,MAG CLASE AZUL ULTRA ANEJO,MAG CLASE AZUL ULTRA ANEJO,enabled,,,3ea0c9f9-4282-4f1c-bcda-ba0b3940c18c,M. CLASE AZUL ULTRA EXTRA ANEJO 175CL,enabled,increase
generic,BTL HEAVENSAKE JUNMAI,BTL HEAVENSAKE 12 JUNMAI,disabled,,,,,,
generic,COCO LANGOUSTE CEVICHE,COCO LANGOUSTE  CEVICHE,enabled,,,,,,none
generic,CEVICHE LANGOUSTE SUGG,CEVICHE LANGOUSTE SUGG,enabled,,,,,,none
generic,BTL SOLAIA RGE,BTL SOLAIA RGE,enabled,,,f542b978-ddf1-4e4e-bc95-4db6d50b8bcb,B._Toscane IGT_ Solaia_RGE_75CL,enabled,increase
generic,M MARGINALE RGE,M MARGINALE RGE,enabled,,,803be1f8-83ac-41b9-8a52-e05ea7e2942a,"M._Saumur Champigny_""Marginale"", Domaine Des Roches Neuves_RGE_150CL",enabled,increase
generic,BTL POMMARD LES JAROLIERES RGE,B CHARMES CHAMBERTIN DOM D DUBAND RG,disabled,,,,,,
generic,B PULIGNY MONT 1ER CRU HENRI BOILLOT BLC,B PULIGNY MONT 1ER CRU HENRI BOILLOT BLC,enabled,,,f2eb14e5-b535-4c96-95fb-b031dee929d6,"B._Puligny-Montrachet 1er Cru_""Clos de la Mouchere"", Domaine Henri Boillot_BLC_75CL",enabled,increase
generic,BTL HENNESSY XO,BTL HENNESSY XO,enabled,,,fe0db28b-8320-4479-b336-6dbf8d941b49,HENNESSY XO 40°,enabled,increase
generic,CALVADOS ADRIEN CAMUT 12ANS,CALVADOS ADRIEN CAMUT 12ANS,enabled,,,87c0919d-10b8-4c4a-88b7-3096d880e7ac,V. CALVADOS ADRIEN CAMUT,enabled,increase
generic,BTL DOM. GALLET CUVEE EMMA RGE,B CORNAS MATTHIEU BARRET RG,disabled,,,,,,
generic,OUR SPINY LOBSTER,OUR SPINY LOBSTER,disabled,,,,,,none
generic,BTL HEAVENSAKE LABEL NOIR,BTL HEAVENSAKE LABEL NOIR,enabled,,,5b0e033a-c957-41a5-9de6-15bad2e3541f,B. HEAVENSAKE JUNMAI DAIGINJO LABEL NOIR- TATENOKAWA 72CL,enabled,increase
generic,TACOS BOEUF,TACOS BOEUF,enabled,,,,,,none
generic,NEGRONI SBAGLIATO,NEGRONI SBAGLIATO,enabled,,,2d0629f7-7bb7-47ae-be1d-605f91d9522d,NEGRONI SBAGLIATO,enabled,increase
generic,B CHATEAU PEYRASSOL RS,B CHATEAU PEYRASSOL RS,enabled,,,7dfb37a8-d892-49c4-af27-526b2edf0b17,B._Côtes-de-Provence_Château Peyrassol_RSE_75CL,enabled,increase
generic,TRES LECHES,TRES LECHES,enabled,,,,,,none
generic,B ROSE ET OR CH MINUTY RS,B ROSE ET OR CH MINUTY RS,enabled,,,8fbd66bc-b8f3-42d5-921e-d1ff66e06bc4,"B._ Cotes de Provence_""Rose & Or"", Château Minuty_RSE_75CL",enabled,increase
generic,CRAZY SMASHED AVOCADO & CAVIAR,CRAZY SMASHED AVOCADO & CAVIAR,disabled,,,,,,none
generic,HOYO EPICURE ESPECIALES,HOYO EPICURE ESPECIALES,enabled,,,,,,none
generic,LAST CALL,LAST CALL,enabled,,,2cfad2ad-1603-456b-9533-3c3b3b7beb97,LAST CALL,enabled,increase
generic,NOISETTE,NOISETTE,enabled,,,3a200038-0726-4ffb-bfe4-5ffa8581f33a,CAFE DOSETTE,enabled,increase
generic,B FORTALEZA ANEJO,B FORTALEZA ANEJO,enabled,,,29adb0fb-5499-4eb0-b4f5-2d7af1267cc9,B. FORTALEZA ANEJO 40° 75CL,enabled,increase
generic,MAG CORTON CHARLEMAGNE GD CRU BLC,B MEURSAULT 1ERC Y CLERGET PERRIERES BLC,disabled,,,,,,
generic,B MONTLOUIS S LOIRE GRANGE TIPHAINE BLC,B MONTLOUIS S LOIRE GRANGE TIPHAINE BLC,enabled,,,044d72c9-64b7-46c3-918a-9325c04ad659,"B._Montlouis sur Loire_""Clef de Sol"", Domaine La Grange Tiphaine_BLC_75CL",enabled,increase
generic,CHEESECAKE,Tarte basque,enabled,,,,,,none
generic,B COTE ROTIE DOMAINE JAMET RG,B COTE ROTIE DOMAINE JAMET RG,enabled,,,4fb59e9b-7aba-4f37-8b3f-3d52ef76bfad,B._Côte-Rôtie _Domaine Jamet_RGE_75CL,enabled,increase
generic,B SILEX DOM DAGUENEAU BLC,B SILEX DOM DAGUENEAU BLC,enabled,,,e7a7f9b3-8577-4bfa-bcc1-7c22ec22ad73,"B._Vin de France, Loire_""Silex"", Domaine Dagueneau_BLC_75CL",enabled,increase
generic,V CLAIRIN COMMUNAL,V CLAIRIN COMMUNAL,enabled,,,db0f65cc-e9c2-4d6a-858e-23e56f05ebc8,V. CLAIRIN COMMUNAL,enabled,increase
generic,BTL PJ BELLE EPOQUE BDB,B PJ BELLE EPOQUE BDB,disabled,,,,,,
generic,V TANQUERAY TEN TONIC,V TANQUERAY TEN TONIC,disabled,,,,,,
generic,B HERMITAGE JL CHAVE 1994 RG,B HERMITAGE JL CHAVE 1994 RG,enabled,,,824c45b8-cea3-498e-b9d2-5fbfa0e00ca8,B._ Hermitage_Domaine Jean Louis Chave_RGE_75CL,enabled,increase
generic,BTL MASSETO RGE,B PIEMONT CA DI PRESS BAROLO RG,disabled,,,,,,
