POS Product Type,POS Product ID,POS Product Name,POS Product Status,POS Product Group ID,POS Product Group Name,Product ID,Product Name,Product Status,Action Type
generic,V. DON JULIO 1942,V. DON JULIO 1942,enabled,,,014f9588-4368-48f3-bf68-f0641d637a0b,V. DON JULIO 1942,enabled,increase
generic,B. PEYRASSOL MEDITERRANEE BLC,B. PEYRASSOL MEDITERRANEE BLC,enabled,,,46c27eaa-31a0-4033-9b43-eabe2d502680,"B._ IGP Méditérranée_ ""Méditérranée"", Peyrassol_BLC_75CL",enabled,increase
generic,BTL LAURENT PERRIER,BTL LAURENT PERRIER,disabled,,,,,,none
generic,V. HENNESSY XO,V. HENNESSY XO,enabled,,,a209778b-4ea1-43e4-827d-2debdce29ac7,V. HENNESSY X.O,enabled,increase
generic,V. LIQUEUR ABSINTHE A JOE,BAS ARMAGNAC LABALLE,disabled,,,e0cac64c-e4b7-4fbb-b5ec-108988ff56c0,V. ABSINTHE À JOE,enabled,increase
generic,V. JUS PAMPLEMOUSSE FRAIS,V. JUS PAMPLEMOUSSE FRAIS,enabled,,,,,,none
generic,V. RHONE ESTEZARGUES RGE,V. RHONE ESTEZARGUES RGE,enabled,,,59962ded-1c4d-4a4a-8faa-9d8bf5d31a39,V. CUVEE DES GALETS ESTEZARGUES,enabled,increase
generic,B. ST EMILION FORTS DE BEL AIR RGE,B. ST EMILION FORTS DE BEL AIR RGE,enabled,,,8b58fcfe-1395-45f1-8dec-a0647bd2bba5,"B._ Montagne St Emilion _ Les Forts de Bel Air ""CASHER""_RGE_75CL",enabled,increase
generic,ANANAS,ANANAS,enabled,,,,,,none
generic,B. DOM. CAMPAUX OSE BLC,B. LYS DES SABLES FONDUGUES BLC,disabled,,,05c18b64-fae1-4887-99b6-9395c8531d62,"B._Provence_""Cuvée Osé Blanc"", Domaine des Campaux_BLC_75CL",enabled,increase
generic,B. ORANGINA 33CL,B. ORANGINA 33CL,enabled,,,bc5d72d8-4f2c-48df-b7d1-63350269aa3d,B. ORANGINA VP 25CL,enabled,increase
generic,B. CHABLIS 1ER CRU MONT DE MILIEU BLC,B. CHABLIS 1ER CRU FOURNEAUX BLC,enabled,,,88e1dcab-a78f-41f4-aaf6-53bc67a6444a,"B._ Chablis 1er Cru_ ""Fourneaux"", Domaine Gautheron_BLC_75CL",enabled,increase
generic,B. DON JULIO 1942,B. DON JULIO 1942,enabled,,,4639253b-3962-43ea-86de-6b4bc9e381a5,B. DON JULIO 1942 70CL,enabled,increase
generic,B. CH. MARTIN GRAVES,B. CH. LA BRANDE CASTILLON RGE,disabled,,,e77ddad2-bf9c-4cd2-aba1-d891d8631c0c,B. BORDEAUX GRAVES CHATEAU MARTIN RGE 75CL,enabled,increase
generic,LONDON MULE TANQUERAY,LONDON MULE TANQUERAY,enabled,,,a8f0eb30-75e1-48d7-94cc-819a5a7f4a68,LONDON MULE,enabled,increase
generic,V. TANQUERAY TEN,V. TANQUERAY TEN,enabled,,,8b48560f-2b31-4a37-864f-010b79335c0d,V. TANQUERAY TEN,enabled,increase
generic,TARTE CITRON,TARTE CITRON,enabled,,,,,,none
generic,S.KETEL ONE,S. BELVEDERE DIRTY BREW,enabled,,,b4f502d3-4bed-422a-b0f5-9487e949e506,S. VODKA VERSE 3CL,enabled,increase
generic,CITRON,CITRON,enabled,,,,,,none
generic,FINGER CHOCOLAT,KNAFEH DOREE,enabled,,,,,,none
generic,CAPPUCCINO,CAPPUCCINO,enabled,,,01b46a0b-8186-44b0-b108-890f6b0cbca2,CAFE DOUBLE INDIE MALONGO,enabled,increase
generic,PLAYAMIGOS,KORALLION,enabled,,,dc936e13-97f2-467f-a8fa-7da2bb9d075a,PLAYAMIGOS DON JULIO BLC,enabled,increase
generic,TRANSAT,TRANSAT,enabled,,,,,,none
generic,B. DOM. DES MARTINELLES ST JOSEPH RGE,B. DOM. DES MARTINELLES ST JOSEPH RGE,disabled,,,29624961-82ad-47be-b390-f495f9420b61,B._ Saint-Joseph_ Domaine des Martinelles_RGE_75CL,enabled,increase
