POS Product Type,POS Product ID,POS Product Name,POS Product Status,POS Product Group ID,POS Product Group Name,Product ID,Product Name,Product Status,Action Type
generic,ACC. CRANBERRY,ACC. CRANBERRY,enabled,,,185b9f25-8107-43bf-be26-ca550c670a5f,SUP. CRANBERRY,enabled,increase
generic,B. SANTENAY COMME DESSUS R. BELLAND BLC,B. SANTENAY COMME DESSUS R. BELLAND BLC,disabled,,,c57b71e3-ccc0-4be2-9a31-ada0db3f9568,"B._Santenay_""Comme-Dessus"", Domaine Roger Belland_BLC_75CL",enabled,increase
generic,B SAUMUR CHAM. DOM DES ROCHES NEUVES,B SAUMUR CHAM. DOM DES ROCHES NEUVES,enabled,,,e6d9c544-a347-4d38-a913-85a1ce3d5bc3,B._ Saumur Champigny_ Domaine des Roches Neuves_RGE_75CL,enabled,increase
generic,NOISETTE,NOISETTE,enabled,,,d2b7cbfe-961b-4321-8d3d-6ccb1415ad0f,CAFE INDIE MALONGO,enabled,increase
generic,V. MARTINI BLANC,V. CARPANO BLANCO,disabled,,,10dcccdc-f0f6-48dd-abd3-b4782208ca40,V. MARTINI BLANC,enabled,increase
generic,B. DOM DE TREVALLON BLC,B. DOM DE TREVALLON BLC,enabled,,,1423942c-4c1e-4500-a8f0-18e4e74cbf4e,B._IGP Alpilles_ Domaine de Trévallon_BLC_75CL,enabled,increase
generic,B. MALARD BRUT,B. MALARD BRUT,disabled,,,ef6285ec-4536-44c2-96be-34b2be29f416,B._Champagne_ Malard Brut_75CL,enabled,increase
generic,V. MABOROSHINOTAKI SAKE,V. CLOUDY SAKE,enabled,,,9f13fece-528c-48a3-a7b7-fd50f3b77bfe,V. MABOROSHINOTAKI CLOUDY SOUR,enabled,increase
generic,B. POMEROL CHATEAU PETRUS RGE,B. POMEROL CHATEAU PETRUS RGE,disabled,,,64ed3e69-70a6-4e5c-b9f3-507ab63e35f8,B._Pomerol_Château Petrus_RGE_75CL,enabled,increase
generic,B. ST JOSEPH DOM JEAN LOUIS CHAVE RGE,B. ST JOSEPH DOM JEAN LOUIS CHAVE RGE,enabled,,,35562a30-c6c6-4f26-94c0-1471c3397198,B. RHONE SAINT-JOSEPH  DOM. JL CHAVE RGE 75CL,enabled,increase
generic,FRENCH 75,FRENCH 75,enabled,,,38d5736a-56ed-4543-9af7-318f13c538eb,V. FRENCH 75,enabled,increase
generic,DAURADE,DAURADE,disabled,,,,,,none
generic,B. MAZIS CHAMBERTIN GRAND CRU RGE,B. MAZIS CHAMBERTIN GRAND CRU RGE,enabled,,,89ae8fdf-cb87-4ffc-acd1-5c0b08cfac9a,B._ Mazis-Chambertin Grand Cru_ Domaine Harmand-Geoffroy_RGE_75CL,enabled,increase
generic,B. CH COS D ESTOURNEL RGE,B. CH COS D ESTOURNEL RGE,enabled,,,39309c62-d15b-46ef-8db4-95c26f13924e,B._Saint-Estèphe_Château Cos d'Estournel_RGE_75CL,enabled,increase
generic,B. VEUVE CLICQUOT BRUT,B. VEUVE CLICQUOT BRUT,disabled,,,79af7041-e198-4c08-986f-37465bd0363a,"B._ Veuve Clicquot ""Brut""_75CL",enabled,increase
generic,ACC. COCA,ACC. COCA,enabled,,,56c70509-379f-4d20-b8c9-b2ec64bed23e,SUP. COCA,enabled,increase
generic,SIROP MENTHE,SIROP MENTHE,enabled,,,e5146373-2408-41cb-bb00-23ca5043b5d9,SIROP. MENTHE,enabled,increase
generic,M. S DE SALON,M. S DE SALON,enabled,,,8005e136-0c4e-400b-9e64-236300dfe277,"M._ S de Salon, ""Salon le Mesnil"", Blanc de Blancs_150CL",enabled,increase
generic,V. ALTOS REPOSADO,V. ALTOS REPOSADO,enabled,,,066a0db6-d4df-4124-a439-ce7831a35c02,V. ALTOS REPOSADO,enabled,increase
generic,B. MAIONNETTE INSTANT BLANC BLC,B. MAIONNETTE INSTANT BLANC BLC,disabled,,,aa628f89-efb8-4cb7-b218-3f8c760e46c9,"B._ Cotes de Provence_ ""Instant Blanc"", Domaine la Maïonnette_BLC_75CL",enabled,increase
generic,S. CLASE AZUL GOLD,S. CLASE AZUL GOLD,enabled,,,3f06cefc-43fd-4c0f-98d9-ae08633ad261,S. CLASE AZUL GOLD 3CL,enabled,increase
generic,B. MAZOYERES CH GR CRU DOM PERROT MINOT,B. MAZOYERES CH GR CRU DOM PERROT MINOT,enabled,,,b5a9d669-053b-4eab-a9e4-f34b3d7b5d95,B._ Mazoyeres Chambertin Grand Cru_ Domaine Perrot Minot_RGE_75CL,enabled,increase
generic,SIROP PECHE,SIROP PECHE,enabled,,,50318031-515d-4c49-b9a1-31467d04626b,SIROP. PECHE,enabled,increase
generic,DECA,DECA,enabled,,,072e1a16-3991-45e8-adba-345d427a7bc8,DECA DOSETTES,enabled,increase
generic,CHABLIS RAVENEAU,CHABLIS RAVENEAU,disabled,,,d782ff9e-9e33-4747-8510-c6d635108af7,"B. CHABLIS 1ER CRU ""Les Butteaux"" DOM FRANCOIS RAVENEAU BLC 75CL",enabled,increase
generic,S. JB,S. JB,enabled,,,119e7448-5678-4bd0-8aad-069f88f975df,S. JB 3CL,enabled,increase
generic,MENU 150,MENU 150,enabled,,,,,,none
generic,B. CH PAVIE,B. CH PAVIE,enabled,,,565b4801-0a3a-4358-b4fc-5ac3c63ac085,B._ Saint Emilion Grand Cru Classé_ Château Pavie_RGE_75CL,enabled,increase
generic,M. BELUGA GOLD LINE,M. BELUGA GOLD LINE,enabled,,,e9ca10de-d6c3-4ad7-badc-a873907ce489,M. BELUGA GOLD LINE LEATHER VODKA 40° 150CL,enabled,increase
generic,PACK TONIC X4,PACK TONIC X5,disabled,,,5f53a97f-6dbf-4cc7-ba3d-553429e4c8ca,PACK TONIC*4,enabled,increase
generic,B. HERMITAGE LA CHAPELLE JABOULET AINE,B. HERMITAGE LA CHAPELLE JABOULET AINE,enabled,,,6290095a-2356-4a72-abc1-432fec1750e1,"B._ Hermitage_  ""La Chapelle"", Paul Jaboulet-Aîné_BLC_75CL",enabled,increase
generic,B. HAVANA 7,B. HAVANA 7,enabled,,,15bbaffd-01bf-42c9-aaf0-5a7030428058,B. RHUM 7ANS VERSE 70CL,enabled,increase
generic,B. CH REVELETTE LE GRAND BLANC BLC,B. CH REVELETTE LE GRAND BLANC BLC,enabled,,,8c7e75ea-7e8b-4c04-8e6f-0c9ea687efba,"B._ IGP Méditerranée_ ""Le Grand Blanc"", Château Revelette_BLC_75CL",enabled,increase
generic,FLOR DE CANO,FLOR DE CANO,enabled,,,,,,none
generic,SECRETO DE PORC,SECRETO DE PORC,disabled,,,,,,none
generic,ACC. COCA ZERO,ACC. COCA ZERO,enabled,,,d226e2fc-cf2d-480a-9db5-1d07481f3106,SUP. COCA ZERO,enabled,increase
generic,V. TANQUERAY,V. TANQUERAY,enabled,,,d5ad3135-84df-4e3a-a3d3-b8e97f2fe9da,V. GIN VERSE,enabled,increase
generic,B. CH MOUTON ROTHSCHILD RGE,B. CH MOUTON ROTHSCHILD RGE,enabled,,,24b33547-22b0-40e9-9f38-6d228843f394,B._Pauillac_Château Mouton Rothschild_RGE_75CL,enabled,increase
generic,B PASTIS 12/12 COPAIN,B PASTIS 12/12 COPAIN,enabled,,,eec4c92c-2842-4158-bda2-6c520e1f0529,B. PASTIS 70CL,enabled,increase
generic,B. DOM DAGUENEAU BUISSON RENARD,B. DOM DAGUENEAU BUISSON RENARD,enabled,,,594f6e52-4bd0-4e4b-850d-af65e7152c91,"B._Vin de France, Loire_""Buisson Renard Blanc"", Domaine Dagueneau_BLC_75CL",enabled,increase
generic,B. CODIGO ORIGEN,B. CODIGO ORIGEN,enabled,,,94bc8a9d-81e6-4606-a92c-8bd90303555b,B. CODIGO 1530 ORIGEN EXTRA ANEJO 40° 70CL,enabled,increase
generic,B. PETRUS RGE,B. PETRUS RGE,enabled,,,64ed3e69-70a6-4e5c-b9f3-507ab63e35f8,B._Pomerol_Château Petrus_RGE_75CL,enabled,increase
